Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733243515,2024-12-03T16:31:55Z,KLM1856,"48.350456,11.782512",0,4,357
1733243748,2024-12-03T16:35:48Z,KLM1856,"48.3507,11.782475",0,5,354
1733243757,2024-12-03T16:35:57Z,KLM1856,"48.350971,11.782421",0,7,354
1733243764,2024-12-03T16:36:04Z,KLM1856,"48.351215,11.782385",0,8,351
1733243771,2024-12-03T16:36:11Z,KLM1856,"48.351471,11.782327",0,8,351
1733243780,2024-12-03T16:36:20Z,KLM1856,"48.351803,11.782115",0,9,326
1733243786,2024-12-03T16:36:26Z,KLM1856,"48.351963,11.781798",0,10,298
1733243790,2024-12-03T16:36:30Z,KLM1856,"48.352016,11.781572",0,9,286
1733243796,2024-12-03T16:36:36Z,KLM1856,"48.352016,11.781138",0,9,264
1733243801,2024-12-03T16:36:41Z,KLM1856,"48.351986,11.780865",0,10,264
1733243804,2024-12-03T16:36:44Z,KLM1856,"48.351974,11.780601",0,10,264
1733243808,2024-12-03T16:36:48Z,KLM1856,"48.351948,11.780361",0,10,264
1733243812,2024-12-03T16:36:52Z,KLM1856,"48.351925,11.780108",0,10,264
1733243816,2024-12-03T16:36:56Z,KLM1856,"48.351906,11.779809",0,9,264
1733243821,2024-12-03T16:37:01Z,KLM1856,"48.351883,11.77951",0,10,261
1733243829,2024-12-03T16:37:09Z,KLM1856,"48.351837,11.778963",0,10,264
1733243850,2024-12-03T16:37:30Z,KLM1856,"48.352558,11.777995",0,0,354
1733243855,2024-12-03T16:37:35Z,KLM1856,"48.352844,11.77794",0,0,354
1733243861,2024-12-03T16:37:41Z,KLM1856,"48.353355,11.77785",0,17,354
1733243869,2024-12-03T16:37:49Z,KLM1856,"48.354019,11.777741",0,19,354
1733243879,2024-12-03T16:37:59Z,KLM1856,"48.354973,11.777578",0,20,354
1733243892,2024-12-03T16:38:12Z,KLM1856,"48.35622,11.777361",0,20,354
1733243900,2024-12-03T16:38:20Z,KLM1856,"48.35693,11.777235",0,20,354
1733243909,2024-12-03T16:38:29Z,KLM1856,"48.357742,11.777098",0,19,354
1733243927,2024-12-03T16:38:47Z,KLM1856,"48.359222,11.776855",0,0,354
1733243934,2024-12-03T16:38:54Z,KLM1856,"48.359608,11.777098",0,0,45
1733243936,2024-12-03T16:38:56Z,KLM1856,"48.359699,11.777344",0,15,64
1733243939,2024-12-03T16:38:59Z,KLM1856,"48.359756,11.777669",0,15,78
1733243943,2024-12-03T16:39:03Z,KLM1856,"48.359768,11.77794",0,15,84
1733243944,2024-12-03T16:39:04Z,KLM1856,"48.359791,11.778157",0,15,84
1733243948,2024-12-03T16:39:08Z,KLM1856,"48.359814,11.778501",0,16,84
1733243951,2024-12-03T16:39:11Z,KLM1856,"48.359848,11.778946",0,17,84
1733243954,2024-12-03T16:39:14Z,KLM1856,"48.359871,11.779281",0,18,84
1733243960,2024-12-03T16:39:20Z,KLM1856,"48.359928,11.780055",0,19,84
1733243962,2024-12-03T16:39:22Z,KLM1856,"48.359951,11.780354",0,19,84
1733243965,2024-12-03T16:39:25Z,KLM1856,"48.359978,11.780723",0,20,84
1733243969,2024-12-03T16:39:29Z,KLM1856,"48.360031,11.781411",0,21,84
1733243979,2024-12-03T16:39:39Z,KLM1856,"48.360157,11.782978",0,22,84
1733243986,2024-12-03T16:39:46Z,KLM1856,"48.360233,11.784065",0,24,84
1733243993,2024-12-03T16:39:53Z,KLM1856,"48.36034,11.785372",0,24,84
1733244001,2024-12-03T16:40:01Z,KLM1856,"48.360443,11.786693",0,25,84
1733244008,2024-12-03T16:40:08Z,KLM1856,"48.360523,11.787872",0,25,84
1733244019,2024-12-03T16:40:19Z,KLM1856,"48.360683,11.789826",0,25,84
